"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"551257","2006","IN","Indiana","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","37.3","","","35.8","38.8","2456","Overall","Overall","EDUCA","17","17","","","","","",""
"551258","2006","IN","Indiana","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","24.9","","","23.6","26.2","1622","Overall","Overall","EDUCA","17","17","","","","","",""
"551259","2006","IN","Indiana","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","26.3","","","25.0","27.6","1787","Overall","Overall","EDUCA","17","17","","","","","",""
"553470","2006","IA","Iowa","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","7.7","","","6.7","8.7","385","Overall","Overall","EDUCA","18","18","","","","","",""
"553471","2006","IA","Iowa","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","34.2","","","32.6","35.8","1920","Overall","Overall","EDUCA","18","18","","","","","",""
"553472","2006","IA","Iowa","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","28.2","","","26.7","29.7","1444","Overall","Overall","EDUCA","18","18","","","","","",""
"553473","2006","IA","Iowa","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","29.9","","","28.4","31.4","1677","Overall","Overall","EDUCA","18","18","","","","","",""
"555796","2006","KS","Kansas","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","8.4","","","7.5","9.3","653","Overall","Overall","EDUCA","19","19","","","","","",""
"555797","2006","KS","Kansas","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","29.9","","","28.6","31.2","2486","Overall","Overall","EDUCA","19","19","","","","","",""
"555798","2006","KS","Kansas","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","28.9","","","27.6","30.2","2373","Overall","Overall","EDUCA","19","19","","","","","",""
"555799","2006","KS","Kansas","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","32.8","","","31.5","34.1","2779","Overall","Overall","EDUCA","19","19","","","","","",""
"558362","2006","KY","Kentucky","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","14.9","","","13.7","16.1","1241","Overall","Overall","EDUCA","20","20","","","","","",""
"558363","2006","KY","Kentucky","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","35.5","","","33.6","37.4","2248","Overall","Overall","EDUCA","20","20","","","","","",""
"558364","2006","KY","Kentucky","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","25.4","","","23.6","27.2","1447","Overall","Overall","EDUCA","20","20","","","","","",""
"558365","2006","KY","Kentucky","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","24.3","","","22.5","26.1","1220","Overall","Overall","EDUCA","20","20","","","","","",""
"560785","2006","LA","Louisiana","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","14.4","","","13.2","15.6","953","Overall","Overall","EDUCA","21","21","","","","","",""
"560786","2006","LA","Louisiana","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","32.8","","","31.4","34.2","2284","Overall","Overall","EDUCA","21","21","","","","","",""
"560787","2006","LA","Louisiana","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","24.3","","","23.0","25.6","1721","Overall","Overall","EDUCA","21","21","","","","","",""
"560788","2006","LA","Louisiana","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","28.5","","","27.2","29.8","2114","Overall","Overall","EDUCA","21","21","","","","","",""
"562614","2006","ME","Maine","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","7.1","","","6.1","8.1","261","Overall","Overall","EDUCA","22","22","","","","","",""
"562615","2006","ME","Maine","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","32.3","","","30.5","34.1","1296","Overall","Overall","EDUCA","22","22","","","","","",""
"562616","2006","ME","Maine","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","26.6","","","24.9","28.3","1044","Overall","Overall","EDUCA","22","22","","","","","",""
"562617","2006","ME","Maine","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","34.1","","","32.3","35.9","1431","Overall","Overall","EDUCA","22","22","","","","","",""
"564900","2006","MD","Maryland","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","6.8","","","5.9","7.7","589","Overall","Overall","EDUCA","23","23","","","","","",""
"564901","2006","MD","Maryland","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","25.1","","","23.7","26.5","2374","Overall","Overall","EDUCA","23","23","","","","","",""
"564902","2006","MD","Maryland","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","25.0","","","23.6","26.4","2157","Overall","Overall","EDUCA","23","23","","","","","",""
"564903","2006","MD","Maryland","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","43.1","","","41.6","44.6","3759","Overall","Overall","EDUCA","23","23","","","","","",""
"567635","2006","MA","Massachusetts","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","7.3","","","6.6","8.0","1404","Overall","Overall","EDUCA","24","24","","","","","",""
"567636","2006","MA","Massachusetts","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","26.2","","","24.9","27.5","3479","Overall","Overall","EDUCA","24","24","","","","","",""
"567637","2006","MA","Massachusetts","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","23.4","","","22.2","24.6","2819","Overall","Overall","EDUCA","24","24","","","","","",""
"567638","2006","MA","Massachusetts","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","43.1","","","41.7","44.5","4991","Overall","Overall","EDUCA","24","24","","","","","",""
"569223","2006","MI","Michigan","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","7.9","","","6.9","8.9","401","Overall","Overall","EDUCA","25","25","","","","","",""
"569224","2006","MI","Michigan","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","32.7","","","31.1","34.3","1855","Overall","Overall","EDUCA","25","25","","","","","",""
"569225","2006","MI","Michigan","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","30.4","","","28.8","32.0","1666","Overall","Overall","EDUCA","25","25","","","","","",""
"569226","2006","MI","Michigan","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","28.9","","","27.5","30.3","1726","Overall","Overall","EDUCA","25","25","","","","","",""
"571753","2006","MN","Minnesota","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","6.4","","","5.3","7.5","263","Overall","Overall","EDUCA","26","26","","","","","",""
"571754","2006","MN","Minnesota","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","25.9","","","24.2","27.6","1132","Overall","Overall","EDUCA","26","26","","","","","",""
"571755","2006","MN","Minnesota","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","29.3","","","27.6","31.0","1234","Overall","Overall","EDUCA","26","26","","","","","",""
"571756","2006","MN","Minnesota","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","38.5","","","36.7","40.3","1620","Overall","Overall","EDUCA","26","26","","","","","",""
"573303","2006","MS","Mississippi","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","17.6","","","16.2","19.0","1068","Overall","Overall","EDUCA","27","27","","","","","",""
"573304","2006","MS","Mississippi","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","32.2","","","30.6","33.8","1972","Overall","Overall","EDUCA","27","27","","","","","",""
"573305","2006","MS","Mississippi","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","26.9","","","25.4","28.4","1529","Overall","Overall","EDUCA","27","27","","","","","",""
"573306","2006","MS","Mississippi","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","23.3","","","22.0","24.6","1459","Overall","Overall","EDUCA","27","27","","","","","",""
"576848","2006","MO","Missouri","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","10.7","","","9.4","12.0","676","Overall","Overall","EDUCA","28","28","","","","","",""
"576849","2006","MO","Missouri","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","35.6","","","33.5","37.7","2047","Overall","Overall","EDUCA","28","28","","","","","",""
"576850","2006","MO","Missouri","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","25.5","","","23.5","27.5","1318","Overall","Overall","EDUCA","28","28","","","","","",""
"576851","2006","MO","Missouri","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","28.2","","","26.2","30.2","1340","Overall","Overall","EDUCA","28","28","","","","","",""
"579046","2006","MT","Montana","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","7.5","","","6.5","8.5","441","Overall","Overall","EDUCA","29","29","","","","","",""
"579047","2006","MT","Montana","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","31.4","","","29.8","33.0","1876","Overall","Overall","EDUCA","29","29","","","","","",""
"579048","2006","MT","Montana","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","28.6","","","27.0","30.2","1764","Overall","Overall","EDUCA","29","29","","","","","",""
"579049","2006","MT","Montana","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","32.5","","","31.0","34.0","1955","Overall","Overall","EDUCA","29","29","","","","","",""
