"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"428981","2007","IA","Iowa","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","27.6","","","26.2","29.0","1553","Overall","Overall","EDUCA","18","18","","","","","",""
"431123","2007","KS","Kansas","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","7.9","","","7.1","8.7","622","Overall","Overall","EDUCA","19","19","","","","","",""
"431124","2007","KS","Kansas","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","28.0","","","26.6","29.4","2442","Overall","Overall","EDUCA","19","19","","","","","",""
"431125","2007","KS","Kansas","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","28.3","","","26.9","29.7","2388","Overall","Overall","EDUCA","19","19","","","","","",""
"431126","2007","KS","Kansas","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","35.8","","","34.4","37.2","3030","Overall","Overall","EDUCA","19","19","","","","","",""
"433192","2007","KY","Kentucky","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","14.3","","","12.9","15.7","1332","Overall","Overall","EDUCA","20","20","","","","","",""
"433193","2007","KY","Kentucky","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","39.1","","","37.1","41.1","2733","Overall","Overall","EDUCA","20","20","","","","","",""
"433194","2007","KY","Kentucky","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","24.9","","","23.1","26.7","1466","Overall","Overall","EDUCA","20","20","","","","","",""
"433195","2007","KY","Kentucky","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","21.7","","","20.1","23.3","1340","Overall","Overall","EDUCA","20","20","","","","","",""
"436063","2007","LA","Louisiana","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","12.3","","","11.1","13.5","819","Overall","Overall","EDUCA","21","21","","","","","",""
"435379","2007","LA","Louisiana","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","32.0","","","30.4","33.6","2187","Overall","Overall","EDUCA","21","21","","","","","",""
"435380","2007","LA","Louisiana","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","25.5","","","24.1","26.9","1706","Overall","Overall","EDUCA","21","21","","","","","",""
"435381","2007","LA","Louisiana","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","30.2","","","28.8","31.6","1955","Overall","Overall","EDUCA","21","21","","","","","",""
"438200","2007","ME","Maine","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","7.1","","","6.1","8.1","470","Overall","Overall","EDUCA","22","22","","","","","",""
"438201","2007","ME","Maine","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","31.8","","","30.2","33.4","2113","Overall","Overall","EDUCA","22","22","","","","","",""
"438202","2007","ME","Maine","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","27.0","","","25.6","28.4","1765","Overall","Overall","EDUCA","22","22","","","","","",""
"438203","2007","ME","Maine","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","34.1","","","32.7","35.5","2475","Overall","Overall","EDUCA","22","22","","","","","",""
"440220","2007","MD","Maryland","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","8.7","","","7.5","9.9","662","Overall","Overall","EDUCA","23","23","","","","","",""
"440221","2007","MD","Maryland","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","24.7","","","23.3","26.1","2390","Overall","Overall","EDUCA","23","23","","","","","",""
"440222","2007","MD","Maryland","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","22.7","","","21.5","23.9","2054","Overall","Overall","EDUCA","23","23","","","","","",""
"440223","2007","MD","Maryland","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","43.9","","","42.3","45.5","3694","Overall","Overall","EDUCA","23","23","","","","","",""
"442588","2007","MA","Massachusetts","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","6.9","","","6.3","7.5","2072","Overall","Overall","EDUCA","24","24","","","","","",""
"442589","2007","MA","Massachusetts","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","24.3","","","23.3","25.3","5860","Overall","Overall","EDUCA","24","24","","","","","",""
"442590","2007","MA","Massachusetts","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","22.2","","","21.4","23.0","4873","Overall","Overall","EDUCA","24","24","","","","","",""
"442591","2007","MA","Massachusetts","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","46.6","","","45.6","47.6","8647","Overall","Overall","EDUCA","24","24","","","","","",""
"445256","2007","MI","Michigan","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","7.6","","","6.6","8.6","573","Overall","Overall","EDUCA","25","25","","","","","",""
"445257","2007","MI","Michigan","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","31.3","","","29.9","32.7","2399","Overall","Overall","EDUCA","25","25","","","","","",""
"445258","2007","MI","Michigan","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","29.6","","","28.2","31.0","2189","Overall","Overall","EDUCA","25","25","","","","","",""
"445259","2007","MI","Michigan","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","31.5","","","30.1","32.9","2315","Overall","Overall","EDUCA","25","25","","","","","",""
"447328","2007","MN","Minnesota","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","5.3","","","4.3","6.3","261","Overall","Overall","EDUCA","26","26","","","","","",""
"447329","2007","MN","Minnesota","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","26.5","","","24.7","28.3","1321","Overall","Overall","EDUCA","26","26","","","","","",""
"447330","2007","MN","Minnesota","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","31.0","","","29.2","32.8","1412","Overall","Overall","EDUCA","26","26","","","","","",""
"447331","2007","MN","Minnesota","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","37.2","","","35.4","39.0","1776","Overall","Overall","EDUCA","26","26","","","","","",""
"450235","2007","MS","Mississippi","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","16.6","","","15.4","17.8","1402","Overall","Overall","EDUCA","27","27","","","","","",""
"450236","2007","MS","Mississippi","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","33.0","","","31.4","34.6","2504","Overall","Overall","EDUCA","27","27","","","","","",""
"450237","2007","MS","Mississippi","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","25.4","","","23.8","27.0","1889","Overall","Overall","EDUCA","27","27","","","","","",""
"450238","2007","MS","Mississippi","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","25.1","","","23.9","26.3","2011","Overall","Overall","EDUCA","27","27","","","","","",""
