"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"544390","2006","HI","Hawaii","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","16.7","","","15.4","18.0","963","Overall","Overall","INCOME","14","14","","","","","",""
"544391","2006","HI","Hawaii","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","49.8","","","48.0","51.6","2639","Overall","Overall","INCOME","14","14","","","","","",""
"546433","2006","ID","Idaho","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","9.6","","","8.3","10.9","525","Overall","Overall","INCOME","15","15","","","","","",""
"546434","2006","ID","Idaho","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","17.5","","","16.1","18.9","888","Overall","Overall","INCOME","15","15","","","","","",""
"546435","2006","ID","Idaho","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","13.6","","","12.3","14.9","655","Overall","Overall","INCOME","15","15","","","","","",""
"546436","2006","ID","Idaho","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","19.1","","","17.7","20.5","914","Overall","Overall","INCOME","15","15","","","","","",""
"546437","2006","ID","Idaho","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","40.3","","","38.5","42.1","1756","Overall","Overall","INCOME","15","15","","","","","",""
"549660","2006","IL","Illinois","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","9.0","","","7.8","10.2","409","Overall","Overall","INCOME","16","16","","","","","",""
"549661","2006","IL","Illinois","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","15.3","","","13.8","16.8","685","Overall","Overall","INCOME","16","16","","","","","",""
"549662","2006","IL","Illinois","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","11.4","","","10.2","12.6","538","Overall","Overall","INCOME","16","16","","","","","",""
