State,province,Most Gyms in State,Total,Population (2016),People Per Gym,"Gyms per Capita (100,000)",num_restaurants,Restaurants per Capita 100k,STATE,RANK,Percent of population with diabetes,diabetes_pop,diabetes per capita 100k,Prevalence,95% CI,obesity_pop,obesity per capita 100k,gyms_per_capita_bin,restaurants_per_capita_bin,obesity_per_capita_bin
Missouri,MO,CrossFit,329.0,6093000,18519.76,5,334,5.481700311833252,Missouri,17.0,10.3,627579.0,10300.0,34.8,"(33.2, 36.4)",2120364.0,34800.0,2,4,3.0
Montana,MT,CrossFit,59.0,1042520,17669.83,6,25,2.3980355292944022,Montana,3.0,7.6,79231.52,7600.0,28.3,"(27.0, 29.7)",295033.16000000003,28300.000000000004,3,1,1.0
Nebraska,NE,YMCA,135.0,1907116,14126.79,7,92,4.824037971471059,Nebraska,16.0,10.2,194525.832,10200.0,34.1,"(33.0, 35.2)",650326.5560000001,34100.000000000015,4,3,3.0
Nevada,NV,CrossFit,142.0,2940058,20704.63,5,135,4.591746149225627,Nevada,28.0,10.9,320466.322,10899.999999999998,30.6,"(28.2, 33.1)",899657.748,30600.0,2,3,2.0
New Hampshire,NH,CrossFit,97.0,1334795,13760.77,7,36,2.6970433662097917,New Hampshire,12.0,9.2,122801.14,9200.0,31.8,"(30.0, 33.6)",424464.81,31800.0,4,1,2.0
New Jersey,NJ,CrossFit,405.0,8944469,22085.11,5,151,1.688194123094395,New Jersey,25.0,10.8,966002.652,10800.000000000002,0.0,0,0.0,0.0,2,1,
New Mexico,NM,CrossFit,100.0,2081015,20810.15,5,149,7.159967611958589,New Mexico,40.0,12.3,255964.84500000003,12300.000000000002,31.7,"(30.0, 33.5)",659681.755,31700.0,2,4,2.0
New York,NY,CrossFit,615.0,19745289,32106.16,3,269,1.362350280109853,New York,21.0,10.5,2073255.345,10500.0,27.1,"(26.0, 28.2)",5350973.319,27100.0,1,1,1.0
North Carolina,NC,CrossFit,451.0,10146788,22498.42,4,358,3.528210109445472,North Carolina,35.0,11.8,1197320.9840000002,11800.000000000002,34.0,"(32.2, 35.8)",3449907.920000001,34000.000000000015,2,3,3.0
North Dakota,ND,Anytime Fitness,52.0,757952,14576.0,7,50,6.596723803090433,North Dakota,11.0,8.9,67457.728,8900.0,34.8,"(33.0, 36.7)",263767.29600000003,34800.0,4,4,3.0
Ohio,OH,CrossFit,598.0,11614373,19422.03,5,543,4.675241616572844,Ohio,36.0,12.0,1393724.76,12000.0,34.8,"(33.5, 36.1)",4041801.804,34799.999999999985,2,3,3.0
Oklahoma,OK,CrossFit,179.0,3923561,21919.34,5,208,5.301306644652652,Oklahoma,38.0,12.2,478674.44200000004,12200.0,36.8,"(35.2, 38.4)",1443870.448,36800.0,2,4,4.0
Oregon,OR,CrossFit,226.0,4093465,18112.68,6,114,2.7849267063478007,Oregon,7.0,8.6,352037.99,8600.0,29.0,"(27.5, 30.4)",1187104.85,29000.0,3,2,1.0
Pennsylvania,PA,CrossFit,674.0,12784227,18967.7,5,283,2.21366532368363,Pennsylvania,25.0,10.8,1380696.5159999998,10800.0,33.2,"(31.7, 34.7)",4244363.364,33200.0,2,1,3.0
Rhode Island,RI,CrossFit and YMCA,76.0,1056426,13900.34,7,24,2.2718108035962765,Rhode Island,20.0,10.4,109868.304,10400.0,30.0,"(28.2, 31.9)",316927.8,30000.0,4,1,2.0
South Carolina,SC,CrossFit,267.0,4961119,18580.97,5,238,4.7973048015981865,South Carolina,45.0,13.4,664789.946,13400.0,35.4,"(33.8, 36.9)",1756236.126,35400.0,2,3,4.0
South Dakota,SD,Curves,60.0,865454,14424.23,7,105,12.132360587622216,South Dakota,23.0,10.6,91738.12400000001,10599.999999999998,33.0,"(30.6, 35.5)",285599.82,33000.0,4,4,3.0
Tennessee,TN,CrossFit,342.0,6651194,19447.94,5,245,3.683549149220426,Tennessee,47.0,13.8,917864.772,13800.000000000002,36.5,"(34.8, 38.3)",2427685.81,36500.0,2,3,4.0
Texas,TX,CrossFit,,27862596,19774.73,5,634,2.2754520074152462,Texas,38.0,12.2,3399236.712,12199.999999999998,34.0,"(32.2, 35.7)",9473282.64,34000.0,2,1,3.0
Utah,UT,CrossFit,165.0,3051217,18492.22,5,159,5.211035465520807,Utah,5.0,8.0,244097.36,8000.0,29.2,"(28.2, 30.3)",890955.3640000001,29200.0,2,4,1.0
Vermont,VT,CrossFit,33.0,624594,18927.09,5,43,6.884472153110662,Vermont,8.0,8.7,54339.678,8700.0,26.6,"(25.0, 28.3)",166142.00400000002,26600.000000000004,2,4,1.0
Virginia,VA,CrossFit,571.0,8411808,14731.71,7,327,3.887392579573856,Virginia,28.0,10.9,916887.072,10900.0,31.9,"(30.6, 33.2)",2683366.752,31900.0,4,3,2.0
Washington,WA,CrossFit,467.0,7288000,15606.0,6,209,2.867727771679473,Washington,13.0,9.4,685072.0,9400.0,28.3,"(27.3, 29.4)",2062504.0,28300.000000000004,3,2,1.0
West Virginia,WV,CrossFit,83.0,1831102,22061.47,5,93,5.078908766414979,West Virginia,50.0,15.7,287483.01399999997,15700.000000000002,39.7,"(38.0, 41.5)",726947.4940000002,39700.000000000015,2,3,4.0
Wisconsin,WI,Anytime Fitness,431.0,5778708,13407.68,7,186,3.218712556509171,Wisconsin,8.0,8.7,502747.596,8699.999999999998,34.2,"(32.4, 36.1)",1976318.136,34200.0,4,2,3.0
Wyoming,WY,CrossFit,36.0,585501,16263.92,6,41,7.00254995294628,Wyoming,4.0,7.8,45669.078,7800.0,29.7,"(27.7, 31.7",173893.797,29700.0,3,4,2.0
